cod_radio,pob_total,pob_adulta_mayor,pct_adulta_mayor
020070101,244,20,8.2
020070201,620,22,3.55
020070202,483,18,3.73
020070203,290,11,3.79
020070204,577,30,5.2
020070205,673,29,4.31
020070207,862,30,3.48
020070208,645,16,2.48
020070209,464,13,2.8
020070210,375,20,5.33
020070211,627,34,5.42
020070212,1136,36,3.17
020070213,461,31,6.72
020070214,556,35,6.29
020070215,712,34,4.78
020070216,358,19,5.31
020070217,670,27,4.03
020070218,545,26,4.77
020070219,343,13,3.79
020070220,325,14,4.31
020070221,1136,28,2.46
020070222,936,23,2.46
020070223,965,30,3.11
020070301,451,6,1.33
020070302,1463,61,4.17
020070303,405,18,4.44
020070304,443,10,2.26
020070305,975,32,3.28
020070306,376,9,2.39
020070307,960,24,2.5
020070308,903,18,1.99
020070309,560,18,3.21
020070310,1374,31,2.26
020070311,658,19,2.89
020070312,683,41,6.0
020070313,528,21,3.98
020070314,585,6,1.03
020070315,781,21,2.69
020070316,374,6,1.6
020070317,547,8,1.46
020070318,293,3,1.02
020070319,364,12,3.3
020070401,866,208,24.02
020070402,1093,252,23.06
020070403,551,155,28.13
020070404,714,244,34.17
020070405,364,121,33.24
020070406,695,208,29.93
020070407,678,196,28.91
020070408,708,194,27.4
020070501,755,198,26.23
020070502,541,108,19.96
020070503,1001,200,19.98
020070504,1014,247,24.36
020070505,535,90,16.82
020070506,876,178,20.32
020070507,673,156,23.18
020070601,863,267,30.94
020070602,667,155,23.24
020070603,1002,304,30.34
020070604,837,202,24.13
020070605,421,81,19.24
020070606,550,165,30.0
020070607,533,129,24.2
020070608,538,119,22.12
020070609,1182,320,27.07
020070610,597,149,24.96
020070701,779,149,19.13
020070702,280,65,23.21
020070703,262,39,14.89
020070704,353,50,14.16
020070705,404,74,18.32
020070706,343,63,18.37
020070707,733,114,15.55
020070708,567,86,15.17
020070709,492,73,14.84
020070710,627,74,11.8
020070711,347,56,16.14
020070712,481,110,22.87
020070713,282,32,11.35
020070801,498,95,19.08
020070802,1106,236,21.34
020070803,746,169,22.65
020070804,555,93,16.76
020070805,440,62,14.09
020070806,1104,221,20.02
020070807,1222,273,22.34
020070808,589,87,14.77
020070809,463,97,20.95
020070810,331,53,16.01
020070811,301,109,36.21
020070901,529,87,16.45
020070902,631,95,15.06
020070903,520,92,17.69
020070904,517,68,13.15
020070905,592,76,12.84
020070906,711,81,11.39
020070907,864,92,10.65
020070908,607,85,14.0
020070909,1003,105,10.47
020070910,521,81,15.55
020070911,402,41,10.2
020070912,304,37,12.17
020070913,791,35,4.42
020070914,519,62,11.95
020070915,380,54,14.21
020070916,554,48,8.66
020070917,245,27,11.02
020070918,444,38,8.56
020070919,260,33,12.69
020070920,637,39,6.12
020070921,369,39,10.57
020071001,409,71,17.36
020071002,696,114,16.38
020071003,893,147,16.46
020071004,610,106,17.38
020071005,590,105,17.8
020071006,949,126,13.28
020071007,451,68,15.08
020071008,528,55,10.42
020071009,635,95,14.96
020071010,893,107,11.98
020071011,873,143,16.38
020071012,681,103,15.12
020071013,624,88,14.1
020071014,399,32,8.02
020071015,296,47,15.88
020071016,328,37,11.28
020071101,503,73,14.51
020071102,713,87,12.2
020071103,425,42,9.88
020071104,755,92,12.19
020071105,575,75,13.04
020071106,474,82,17.3
020071107,623,93,14.93
020071108,729,126,17.28
020071109,469,68,14.5
020071110,541,95,17.56
020071111,370,53,14.32
020071112,424,35,8.25
020071113,531,97,18.27
020071114,658,99,15.05
020071115,616,98,15.91
020071201,337,32,9.5
020071202,430,45,10.47
020071203,296,34,11.49
020071204,473,41,8.67
020071205,499,89,17.84
020071206,601,76,12.65
020071207,1020,115,11.27
020071208,300,38,12.67
020071209,586,95,16.21
020071210,392,28,7.14
020071211,516,58,11.24
020071212,412,32,7.77
020071213,379,35,9.23
020071214,519,43,8.29
020071301,567,120,21.16
020071302,226,42,18.58
020071303,323,38,11.76
020071304,621,137,22.06
020071305,558,124,22.22
020071306,422,76,18.01
020071307,1068,191,17.88
020071308,493,100,20.28
020071309,562,135,24.02
020071310,1122,256,22.82
020071311,439,60,13.67
020071312,539,88,16.33
020071313,291,39,13.4
020071314,650,47,7.23
020071315,659,80,12.14
020071316,998,38,3.81
020071317,720,34,4.72
020071318,677,35,5.17
020071401,629,77,12.24
020071402,821,85,10.35
020071403,369,46,12.47
020071404,344,51,14.83
020071405,737,84,11.4
020071406,664,94,14.16
020071407,657,80,12.18
020071408,449,57,12.69
020071409,502,77,15.34
020071410,474,83,17.51
020071411,350,39,11.14
020071412,428,60,14.02
020071501,774,66,8.53
020071502,781,95,12.16
020071503,586,87,14.85
020071504,1007,177,17.58
020071505,554,80,14.44
020071506,609,75,12.32
020071507,587,76,12.95
020071508,838,84,10.02
020071509,992,143,14.42
020071510,739,130,17.59
020071511,594,98,16.5
020071601,558,80,14.34
020071602,368,39,10.6
020071603,738,101,13.69
020071604,588,71,12.07
020071605,330,37,11.21
020071606,495,70,14.14
020071607,1010,166,16.44
020071608,485,76,15.67
020071609,319,86,26.96
020071610,549,105,19.13
020071611,381,55,14.44
020071612,334,54,16.17
020071701,1005,152,15.12
020071702,448,56,12.5
020071703,657,90,13.7
020071704,578,123,21.28
020071705,615,102,16.59
020071706,956,144,15.06
020071707,668,106,15.87
020071708,691,112,16.21
020071709,446,67,15.02
020071710,627,88,14.04
020071711,451,95,21.06
020071801,1102,191,17.33
020071802,832,148,17.79
020071803,708,106,14.97
020071804,1181,183,15.5
020071805,767,123,16.04
020071806,985,161,16.35
020071807,636,120,18.87
020071808,696,116,16.67
020071809,846,118,13.95
020071901,990,129,13.03
020071902,1003,132,13.16
020071903,353,52,14.73
020071904,780,105,13.46
020071905,442,96,21.72
020071906,601,65,10.82
020071907,738,128,17.34
020071908,424,30,7.08
020071909,569,79,13.88
020072001,557,89,15.98
020072002,783,116,14.81
020072003,736,96,13.04
020072004,724,116,16.02
020072005,776,172,22.16
020072006,585,114,19.49
020072007,503,86,17.1
020072008,657,79,12.02
020072009,656,110,16.77
020072010,884,111,12.56
020072101,472,92,19.49
020072102,762,82,10.76
020072103,680,78,11.47
020072104,1114,155,13.91
020072105,777,105,13.51
020072106,631,80,12.68
020072107,772,121,15.67
020072108,503,86,17.1
020072109,676,132,19.53
020072110,841,110,13.08
020072201,806,106,13.15
020072202,819,153,18.68
020072203,833,116,13.93
020072204,474,75,15.82
020072205,473,56,11.84
020072206,588,92,15.65
020072207,621,74,11.92
020072208,698,112,16.05
020072209,979,185,18.9
020072210,1514,232,15.32
020072301,705,106,15.04
020072302,516,95,18.41
020072303,761,119,15.64
020072304,298,41,13.76
020072305,513,74,14.42
020072306,506,129,25.49
020072307,495,77,15.56
020072308,589,130,22.07
020072309,838,173,20.64
020072310,256,50,19.53
020072401,268,61,22.76
020072402,608,63,10.36
020072403,515,64,12.43
020072404,392,49,12.5
020072405,349,64,18.34
020072406,865,165,19.08
020072407,941,147,15.62
020072408,493,61,12.37
020072501,446,46,10.31
020072502,458,75,16.38
020072503,454,75,16.52
020072504,830,151,18.19
020072505,605,95,15.7
020072506,582,93,15.98
020072507,421,79,18.76
020072508,668,140,20.96
020072509,442,83,18.78
020072510,484,86,17.77
020072511,488,96,19.67
020072601,339,62,18.29
020072602,627,96,15.31
020072603,499,80,16.03
020072604,548,123,22.45
020072605,1047,139,13.28
020072606,378,86,22.75
020072607,620,96,15.48
020072608,552,120,21.74
020072609,799,159,19.9
020072701,388,96,24.74
020072702,705,86,12.2
020072703,636,80,12.58
020072704,556,119,21.4
020072705,552,91,16.49
020072706,675,88,13.04
020072707,647,68,10.51
020072708,951,139,14.62
020072709,686,115,16.76
020072710,468,93,19.87
020072801,353,73,20.68
020072802,626,86,13.74
020072803,543,78,14.36
020072804,553,131,23.69
020072805,776,131,16.88
020072806,761,87,11.43
020072807,550,109,19.82
020072808,230,54,23.48
020072809,942,120,12.74
020072810,974,116,11.91
020072811,788,80,10.15
020072812,541,73,13.49
020072813,667,87,13.04
020072901,1148,123,10.71
020072902,703,90,12.8
020072903,760,85,11.18
020072904,730,109,14.93
020072905,951,143,15.04
020072906,866,139,16.05
020072907,630,118,18.73
020072908,658,111,16.87
020072909,930,132,14.19
020073001,799,24,3.0
020073002,805,35,4.35
020073003,474,11,2.32
020073004,518,11,2.12
020073005,292,8,2.74
020073006,718,26,3.62
020073007,755,15,1.99
020073008,731,20,2.74
020073009,564,15,2.66
020073010,683,19,2.78
020073011,814,16,1.97
020073012,1012,19,1.88
020073013,727,15,2.06
020140101,57,4,7.02
020140102,497,28,5.63
020140201,691,140,20.26
020140202,945,285,30.16
020140203,606,175,28.88
020140204,600,193,32.17
020140205,664,161,24.25
020140206,473,131,27.7
020140207,312,62,19.87
020140208,731,164,22.44
020140301,932,217,23.28
020140302,836,167,19.98
020140303,343,86,25.07
020140304,383,111,28.98
020140305,742,137,18.46
020140306,908,175,19.27
020140307,850,240,28.24
020140308,687,155,22.56
020140401,880,194,22.05
020140402,293,62,21.16
020140403,427,123,28.81
020140404,550,152,27.64
020140405,771,205,26.59
020140406,518,176,33.98
020140407,607,191,31.47
020140408,890,248,27.87
020140409,714,203,28.43
020140410,1020,289,28.33
020140501,685,199,29.05
020140502,851,217,25.5
020140503,662,208,31.42
020140504,658,164,24.92
020140505,922,242,26.25
020140506,864,247,28.59
020140507,920,232,25.22
020140508,629,137,21.78
020140509,463,125,27.0
020140601,581,142,24.44
020140602,1281,348,27.17
020140603,562,147,26.16
020140604,834,211,25.3
020140605,523,92,17.59
020140606,750,146,19.47
020140607,415,79,19.04
020140608,549,115,20.95
020140609,526,111,21.1
020140610,483,88,18.22
020140701,1407,386,27.43
020140702,966,258,26.71
020140703,1002,241,24.05
020140704,771,170,22.05
020140705,597,121,20.27
020140706,716,156,21.79
020140707,1070,205,19.16
020140708,455,71,15.6
020140709,647,130,20.09
020140801,647,115,17.77
020140802,856,176,20.56
020140803,1060,215,20.28
020140804,1209,270,22.33
020140805,1083,185,17.08
020140806,1225,253,20.65
020140807,2251,497,22.08
020140808,954,252,26.42
020140901,659,125,18.97
020140902,761,125,16.43
020140903,880,194,22.05
020140904,1038,215,20.71
020140905,1109,211,19.03
020140906,994,206,20.72
020140907,856,175,20.44
020140908,1452,268,18.46
020140909,1236,212,17.15
020141001,1000,172,17.2
020141002,607,114,18.78
020141003,585,91,15.56
020141004,915,220,24.04
020141005,770,124,16.1
020141006,620,100,16.13
020141007,1082,196,18.11
020141008,865,167,19.31
020141009,623,147,23.6
020141101,1254,261,20.81
020141102,456,86,18.86
020141103,1359,213,15.67
020141104,1303,260,19.95
020141105,533,69,12.95
020141106,688,106,15.41
020141201,715,220,30.77
020141202,657,147,22.37
020141203,795,169,21.26
020141204,1231,238,19.33
020141205,1125,199,17.69
020141206,735,138,18.78
020141207,476,77,16.18
020141301,1203,192,15.96
020141302,856,203,23.71
020141303,1013,167,16.49
020141304,963,138,14.33
020141305,1016,162,15.94
020141306,714,132,18.49
020141307,1278,230,18.0
020141401,545,105,19.27
020141402,501,90,17.96
020141403,447,71,15.88
020141404,738,160,21.68
020141405,857,186,21.7
020141406,1210,209,17.27
020141407,880,174,19.77
020141408,841,143,17.0
020141409,1240,229,18.47
020141410,1111,183,16.47
020141501,607,145,23.89
020141502,759,169,22.27
020141503,1459,270,18.51
020141504,711,153,21.52
020141505,423,69,16.31
020141506,702,157,22.36
020141507,577,141,24.44
020141508,815,154,18.9
020141601,648,127,19.6
020141602,704,184,26.14
020141603,765,148,19.35
020141604,632,152,24.05
020141605,793,183,23.08
020141606,719,162,22.53
020141607,1006,224,22.27
020141608,650,157,24.15
020141701,1116,228,20.43
020141702,860,168,19.53
020141703,1069,230,21.52
020141704,402,69,17.16
020141705,788,119,15.1
020141706,1120,233,20.8
020141707,1080,153,14.17
020141708,869,131,15.07
020141709,659,159,24.13
020141801,971,203,20.91
020141802,1377,259,18.81
020141803,927,158,17.04
020141804,532,93,17.48
020141805,603,141,23.38
020141806,813,158,19.43
020141807,631,113,17.91
020141808,529,97,18.34
020141901,833,143,17.17
020141902,855,139,16.26
020141903,704,157,22.3
020141904,1126,216,19.18
020141905,686,102,14.87
020141906,683,119,17.42
020141907,713,100,14.03
020141908,836,138,16.51
020142001,847,166,19.6
020142002,947,132,13.94
020142003,944,157,16.63
020142004,591,94,15.91
020142005,812,114,14.04
020142006,823,123,14.95
020142007,952,90,9.45
020142008,708,105,14.83
020142009,510,61,11.96
020142101,1016,230,22.64
020142102,1100,200,18.18
020142103,802,156,19.45
020142104,1069,205,19.18
020142105,915,182,19.89
020142106,824,138,16.75
020142201,697,149,21.38
020142202,689,121,17.56
020142203,683,90,13.18
020142204,854,163,19.09
020142205,1061,231,21.77
020142206,1018,187,18.37
020142301,652,156,23.93
020142302,775,128,16.52
020142303,901,161,17.87
020142304,759,140,18.45
020142305,551,121,21.96
020142306,249,60,24.1
020142307,424,99,23.35
020142308,340,79,23.24
020142309,866,192,22.17
020142401,959,216,22.52
020142402,604,159,26.32
020142403,839,181,21.57
020142404,946,184,19.45
020142405,1087,203,18.68
020142406,1048,226,21.56
020142501,656,130,19.82
020142502,837,131,15.65
020142503,317,70,22.08
020142504,725,124,17.1
020142505,692,150,21.68
020142506,600,89,14.83
020142507,712,114,16.01
020142508,662,95,14.35
020142509,901,105,11.65
020142510,487,85,17.45
020142511,451,55,12.2
020142512,646,76,11.76
020142513,516,76,14.73
020210101,634,87,13.72
020210102,876,100,11.42
020210103,861,127,14.75
020210104,445,72,16.18
020210105,843,99,11.74
020210106,641,50,7.8
020210107,592,75,12.67
020210108,416,35,8.41
020210109,772,96,12.44
020210110,329,59,17.93
020210111,569,96,16.87
020210112,466,58,12.45
020210201,875,110,12.57
020210202,628,95,15.13
020210203,417,74,17.75
020210204,673,113,16.79
020210205,1016,130,12.8
020210206,690,86,12.46
020210207,938,125,13.33
020210208,1087,137,12.6
020210209,891,104,11.67
020210210,425,60,14.12
020210211,605,96,15.87
020210212,857,119,13.89
020210301,1154,184,15.94
020210302,1019,141,13.84
020210303,934,102,10.92
020210304,659,99,15.02
020210305,789,106,13.43
020210306,823,150,18.23
020210307,889,126,14.17
020210308,933,149,15.97
020210309,504,74,14.68
020210310,676,85,12.57
020210311,823,88,10.69
020210401,822,114,13.87
020210402,625,82,13.12
020210403,704,124,17.61
020210404,893,106,11.87
020210405,657,81,12.33
020210406,868,101,11.64
020210407,694,86,12.39
020210408,486,56,11.52
020210501,833,107,12.85
020210502,710,102,14.37
020210503,1088,131,12.04
020210504,541,84,15.53
020210505,772,108,13.99
020210506,423,74,17.49
020210507,850,167,19.65
020210601,1022,162,15.85
020210602,686,84,12.24
020210603,765,145,18.95
020210604,697,157,22.53
020210605,810,79,9.75
020210606,588,98,16.67
020210607,699,128,18.31
020210701,361,58,16.07
020210702,948,143,15.08
020210703,1061,172,16.21
020210704,962,175,18.19
020210705,651,88,13.52
020210706,638,113,17.71
020210707,1162,177,15.23
020210708,441,85,19.27
020210709,987,176,17.83
020210801,815,131,16.07
020210802,581,96,16.52
020210803,908,133,14.65
020210804,563,85,15.1
020210805,516,69,13.37
020210806,482,99,20.54
020210807,567,87,15.34
020210808,569,79,13.88
020210809,737,109,14.79
020210810,512,83,16.21
020210901,838,141,16.83
020210902,674,97,14.39
020210903,1121,166,14.81
020210904,1085,171,15.76
020210905,688,99,14.39
020210906,630,84,13.33
020210907,669,72,10.76
020210908,714,120,16.81
020210909,1054,175,16.6
020210910,928,126,13.58
020211001,872,119,13.65
020211002,827,126,15.24
020211003,582,68,11.68
020211004,709,115,16.22
020211005,590,106,17.97
020211006,743,109,14.67
020211007,736,122,16.58
020211008,779,139,17.84
020211009,148,25,16.89
020211101,781,131,16.77
020211102,864,154,17.82
020211103,663,101,15.23
020211104,814,157,19.29
020211105,746,114,15.28
020211106,1094,190,17.37
020211107,637,136,21.35
020211108,799,136,17.02
020211201,856,167,19.51
020211202,1134,188,16.58
020211203,564,121,21.45
020211204,523,77,14.72
020211205,1065,194,18.22
020211206,286,32,11.19
020211207,989,175,17.69
020211208,866,161,18.59
020211209,472,66,13.98
020211210,804,107,13.31
020211301,805,144,17.89
020211302,778,140,17.99
020211303,908,168,18.5
020211304,560,85,15.18
020211305,717,130,18.13
020211306,727,91,12.52
020211307,488,132,27.05
020211308,636,107,16.82
020211309,776,138,17.78
020211310,543,71,13.08
020211311,663,98,14.78
020211401,1001,144,14.39
020211402,1015,164,16.16
020211403,1051,174,16.56
020211404,796,168,21.11
020211405,735,114,15.51
020211406,948,176,18.57
020211407,582,119,20.45
020211408,868,142,16.36
020211409,710,115,16.2
020211501,701,131,18.69
020211502,962,171,17.78
020211503,599,96,16.03
020211504,707,111,15.7
020211505,654,109,16.67
020211506,766,137,17.89
020211507,1084,184,16.97
020211508,1176,220,18.71
020211509,331,53,16.01
020211601,775,158,20.39
020211602,931,150,16.11
020211603,853,152,17.82
020211604,486,75,15.43
020211605,542,56,10.33
020211606,686,96,13.99
020211607,780,128,16.41
020211608,596,114,19.13
020211609,1313,178,13.56
020211701,520,82,15.77
020211702,752,95,12.63
020211703,595,88,14.79
020211704,737,87,11.8
020211705,685,87,12.7
020211706,699,104,14.88
020211707,775,122,15.74
020211708,765,91,11.9
020211709,809,105,12.98
020211801,651,97,14.9
020211802,764,121,15.84
020211803,552,81,14.67
020211804,917,173,18.87
020211805,473,96,20.3
020211806,711,122,17.16
020211807,648,103,15.9
020211808,581,89,15.32
020211809,990,179,18.08
020211810,634,91,14.35
020211811,693,113,16.31
020211901,1357,209,15.4
020211902,388,74,19.07
020211903,769,155,20.16
020211904,744,133,17.88
020211905,857,99,11.55
020211906,803,146,18.18
020211907,1006,165,16.4
020211908,1275,189,14.82
020211909,738,122,16.53
020211910,550,98,17.82
020212001,741,112,15.11
020212002,771,183,23.74
020212003,684,95,13.89
020212004,582,141,24.23
020212005,571,86,15.06
020212006,572,75,13.11
020212007,1042,194,18.62
020212008,828,134,16.18
020212009,1054,208,19.73
020212010,672,105,15.62
020212011,668,146,21.86
020212101,837,142,16.97
020212102,892,186,20.85
020212103,766,159,20.76
020212104,904,169,18.69
020212105,463,90,19.44
020212106,716,137,19.13
020212107,516,86,16.67
020212108,752,127,16.89
020212109,526,102,19.39
020212110,1023,162,15.84
020212201,961,136,14.15
020212202,608,110,18.09
020212203,364,59,16.21
020212204,584,82,14.04
020212205,920,179,19.46
020212206,543,99,18.23
020212207,835,134,16.05
020212208,917,182,19.85
020212209,903,133,14.73
020212301,940,144,15.32
020212302,661,128,19.36
020212303,842,150,17.81
020212304,406,71,17.49
020212305,655,109,16.64
020212306,602,102,16.94
020212307,640,121,18.91
020212308,854,104,12.18
020212309,882,112,12.7
020212310,824,121,14.68
020212401,664,108,16.27
020212402,1058,156,14.74
020212403,815,148,18.16
020212404,930,128,13.76
020212405,611,121,19.8
020212406,1053,177,16.81
020212407,964,161,16.7
020212408,809,147,18.17
020212409,480,83,17.29
020212501,388,76,19.59
020212502,647,116,17.93
020212503,440,58,13.18
020212504,717,97,13.53
020212505,1450,171,11.79
020212506,1019,159,15.6
020212507,682,114,16.72
020212508,1487,298,20.04
020212509,772,156,20.21
020212510,666,83,12.46
020212601,798,146,18.3
020212602,949,186,19.6
020212603,806,141,17.49
020212604,735,118,16.05
020212605,800,136,17.0
020212606,464,93,20.04
020212607,742,145,19.54
020212608,570,125,21.93
020212609,617,109,17.67
020212701,955,179,18.74
020212702,1067,178,16.68
020212703,990,141,14.24
020212704,995,150,15.08
020212705,647,110,17.0
020212706,946,103,10.89
020212707,809,133,16.44
020280101,804,121,15.05
020280102,900,107,11.89
020280103,614,83,13.52
020280104,781,92,11.78
020280105,746,80,10.72
020280106,399,28,7.02
020280107,515,67,13.01
020280108,765,122,15.95
020280109,781,144,18.44
020280110,527,68,12.9
020280111,531,91,17.14
020280112,588,119,20.24
020280113,341,69,20.23
020280114,508,75,14.76
020280201,828,139,16.79
020280202,901,159,17.65
020280203,1154,127,11.01
020280204,835,112,13.41
020280205,633,80,12.64
020280206,732,136,18.58
020280207,1191,193,16.2
020280208,650,114,17.54
020280209,831,100,12.03
020280210,1260,149,11.83
020280301,838,133,15.87
020280302,871,148,16.99
020280303,547,99,18.1
020280304,827,141,17.05
020280305,957,192,20.06
020280306,783,160,20.43
020280307,671,120,17.88
020280308,745,131,17.58
020280309,489,97,19.84
020280310,896,131,14.62
020280311,869,145,16.69
020280312,977,147,15.05
020280313,1046,86,8.22
020280401,730,146,20.0
020280402,639,127,19.87
020280403,891,188,21.1
020280404,930,176,18.92
020280405,905,155,17.13
020280406,1153,170,14.74
020280407,877,153,17.45
020280408,917,127,13.85
020280409,572,107,18.71
020280410,677,111,16.4
020280411,1105,165,14.93
020280501,956,153,16.0
020280502,659,108,16.39
020280503,907,184,20.29
020280504,717,122,17.02
020280505,475,90,18.95
020280506,903,187,20.71
020280507,747,154,20.62
020280508,534,76,14.23
020280509,890,155,17.42
020280510,1020,151,14.8
020280511,1026,140,13.65
020280512,996,70,7.03
020280601,1133,102,9.0
020280602,669,120,17.94
020280603,918,167,18.19
020280604,1042,188,18.04
020280605,717,105,14.64
020280606,960,223,23.23
020280607,805,125,15.53
020280608,824,146,17.72
020280609,693,157,22.66
020280610,538,112,20.82
020280611,673,94,13.97
020280612,567,110,19.4
020280701,1104,140,12.68
020280702,768,139,18.1
020280703,841,93,11.06
020280704,2039,420,20.6
020280705,752,157,20.88
020280706,1003,149,14.86
020280707,723,149,20.61
020280708,753,144,19.12
020280709,839,142,16.92
020280710,693,146,21.07
020280711,669,98,14.65
020280712,662,81,12.24
020280801,729,149,20.44
020280802,1083,207,19.11
020280803,850,139,16.35
020280804,794,108,13.6
020280805,683,158,23.13
020280806,821,125,15.23
020280807,481,78,16.22
020280808,602,42,6.98
020280809,1027,153,14.9
020280810,722,65,9.0
020280811,1004,123,12.25
020280812,1646,104,6.32
020280901,1149,113,9.83
020280902,957,129,13.48
020280903,755,112,14.83
020280904,646,66,10.22
020280905,685,116,16.93
020280906,692,101,14.6
020280907,1569,121,7.71
020281001,808,29,3.59
020281002,733,31,4.23
020281003,401,20,4.99
020281004,591,32,5.41
020281005,1273,50,3.93
020281006,858,53,6.18
020281007,1121,35,3.12
020281008,1383,37,2.68
020281009,554,30,5.42
020281101,899,114,12.68
020281102,634,153,24.13
020281103,758,136,17.94
020281104,862,135,15.66
020281105,774,102,13.18
020281106,1016,151,14.86
020281107,1782,119,6.68
020281108,825,138,16.73
020281109,243,39,16.05
020281201,595,117,19.66
020281202,704,105,14.91
020281203,678,133,19.62
020281204,678,125,18.44
020281205,643,104,16.17
020281206,1095,105,9.59
020281207,861,97,11.27
020281208,471,109,23.14
020281209,765,156,20.39
020281210,876,116,13.24
020281211,590,132,22.37
020281212,779,157,20.15
020281301,1069,173,16.18
020281302,693,143,20.63
020281303,632,135,21.36
020281304,502,117,23.31
020281305,969,220,22.7
020281306,638,103,16.14
020281307,1093,236,21.59
020281308,405,90,22.22
020281309,417,116,27.82
020281310,526,117,22.24
020281311,1052,236,22.43
020281401,651,108,16.59
020281402,429,80,18.65
020281403,595,116,19.5
020281404,854,162,18.97
020281405,692,153,22.11
020281406,664,151,22.74
020281407,972,148,15.23
020281408,525,80,15.24
020281409,674,103,15.28
