cod_radio,pob_total,pob_infantil,pct_infantil
020841803,1080,160,14.81
020841804,1037,158,15.24
020841805,1079,181,16.77
020841806,1143,215,18.81
020841807,963,145,15.06
020841808,956,146,15.27
020841809,881,127,14.42
020841810,1114,190,17.06
020841811,678,103,15.19
020841812,663,102,15.38
020841813,821,123,14.98
020841814,540,63,11.67
020841815,434,70,16.13
020841901,1043,165,15.82
020841902,602,97,16.11
020841903,685,107,15.62
020841904,907,111,12.24
020841905,1350,231,17.11
020841906,1100,179,16.27
020841907,877,133,15.17
020841908,961,157,16.34
020841909,1026,133,12.96
020841910,947,140,14.78
020841911,1111,171,15.39
020841912,889,134,15.07
020841913,770,120,15.58
020842001,854,121,14.17
020842002,765,119,15.56
020842003,729,122,16.74
020842004,1381,228,16.51
020842005,1034,151,14.6
020842006,1369,199,14.54
020842007,1209,150,12.41
020842008,1076,154,14.31
020842009,877,134,15.28
020842010,632,76,12.03
020842101,638,84,13.17
020842102,774,151,19.51
020842103,653,77,11.79
020842104,1286,190,14.77
020842105,890,105,11.8
020842106,895,143,15.98
020842107,1196,177,14.8
020842108,1185,172,14.51
020842109,731,101,13.82
020842110,881,119,13.51
020842111,789,108,13.69
020842112,660,76,11.52
020842113,848,124,14.62
020842201,806,113,14.02
020842202,1044,168,16.09
020842203,1034,167,16.15
020842204,865,134,15.49
020842205,1127,180,15.97
020842206,915,113,12.35
020842207,804,108,13.43
020842208,1081,185,17.11
020842209,674,109,16.17
020842210,1117,158,14.15
020842211,1104,179,16.21
020842212,814,139,17.08
020842213,499,90,18.04
020842214,482,68,14.11
020842215,617,92,14.91
020910101,1176,132,11.22
020910102,835,104,12.46
020910103,835,100,11.98
020910104,652,86,13.19
020910105,1221,152,12.45
020910106,1348,191,14.17
020910107,723,108,14.94
020910108,683,88,12.88
020910109,600,64,10.67
020910110,812,113,13.92
020910111,643,84,13.06
020910112,529,52,9.83
020910113,605,94,15.54
020910114,535,54,10.09
020910115,459,42,9.15
020910201,640,80,12.5
020910202,860,105,12.21
020910203,819,109,13.31
020910204,756,102,13.49
020910205,996,123,12.35
020910206,886,105,11.85
020910207,785,118,15.03
020910208,786,103,13.1
020910209,1126,130,11.55
020910210,1281,192,14.99
020910211,706,127,17.99
020910212,742,104,14.02
020910213,601,68,11.31
020910301,1149,171,14.88
020910302,680,95,13.97
020910303,820,90,10.98
020910304,571,66,11.56
020910305,1101,177,16.08
020910306,1037,145,13.98
020910307,806,96,11.91
020910308,1113,180,16.17
020910309,1091,158,14.48
020910310,755,123,16.29
020910311,751,128,17.04
020910312,505,85,16.83
020910313,489,45,9.2
020910401,956,124,12.97
020910402,957,109,11.39
020910403,863,106,12.28
020910404,1215,149,12.26
020910405,1085,150,13.82
020910406,1093,171,15.65
020910407,845,115,13.61
020910408,785,85,10.83
020910409,843,116,13.76
020910410,578,63,10.9
020910411,918,129,14.05
020910412,225,29,12.89
020910413,737,85,11.53
020910414,774,110,14.21
020910415,645,87,13.49
020910416,594,83,13.97
020910501,810,99,12.22
020910502,1237,175,14.15
020910503,525,53,10.1
020910504,981,113,11.52
020910505,1050,153,14.57
020910506,957,119,12.43
020910507,1067,133,12.46
020910508,1322,162,12.25
020910509,731,97,13.27
020910510,647,85,13.14
020910511,667,72,10.79
020910512,427,50,11.71
020910601,744,91,12.23
020910602,1133,168,14.83
020910603,1012,133,13.14
020910604,1047,126,12.03
020910605,1084,116,10.7
020910606,947,109,11.51
020910607,1140,140,12.28
020910608,810,120,14.81
020910701,626,88,14.06
020910702,565,79,13.98
020910703,1286,158,12.29
020910704,863,101,11.7
020910705,978,139,14.21
020910706,884,125,14.14
020910707,976,128,13.11
020910708,898,135,15.03
020910709,1218,168,13.79
020910801,734,78,10.63
020910802,613,63,10.28
020910803,659,69,10.47
020910804,1041,115,11.05
020910805,1340,166,12.39
020910806,663,73,11.01
020910807,733,109,14.87
020910808,1055,124,11.75
020910809,928,109,11.75
020910810,663,76,11.46
020910811,724,116,16.02
020910901,725,93,12.83
020910902,944,124,13.14
020910903,550,76,13.82
020910904,713,80,11.22
020910905,740,100,13.51
020910906,786,83,10.56
020910907,739,86,11.64
020910908,821,119,14.49
020910909,902,107,11.86
020910910,700,89,12.71
020910911,587,86,14.65
020911001,874,119,13.62
020911002,529,62,11.72
020911003,523,66,12.62
020911004,553,90,16.27
020911005,861,120,13.94
020911006,882,119,13.49
020911007,709,83,11.71
020911008,994,115,11.57
020911009,763,96,12.58
020911010,937,115,12.27
020911011,621,75,12.08
020911012,551,121,21.96
020911013,502,52,10.36
020911014,926,152,16.41
020911015,582,94,16.15
020911101,431,52,12.06
020911102,787,106,13.47
020911103,616,80,12.99
020911104,570,75,13.16
020911105,509,63,12.38
020911106,1009,153,15.16
020911107,886,123,13.88
020911201,804,127,15.8
020911202,779,116,14.89
020911203,578,73,12.63
020911204,892,130,14.57
020911205,1460,277,18.97
020911206,580,82,14.14
020911207,928,129,13.9
020911208,687,98,14.26
020911209,1175,200,17.02
020911210,708,123,17.37
020911301,932,114,12.23
020911302,365,46,12.6
020911303,790,115,14.56
020911304,877,96,10.95
020911305,891,102,11.45
020911306,368,42,11.41
020911307,851,124,14.57
020911308,638,71,11.13
020911309,686,112,16.33
020911310,890,152,17.08
020911311,592,79,13.34
020911312,776,107,13.79
020911313,501,53,10.58
020911314,881,129,14.64
020911315,734,129,17.57
020911401,821,101,12.3
020911402,351,48,13.68
020911403,707,88,12.45
020911404,763,109,14.29
020911405,515,60,11.65
020911406,917,135,14.72
020911407,399,54,13.53
020911408,665,93,13.98
020911409,634,77,12.15
020911410,769,93,12.09
020911411,770,125,16.23
020911501,796,107,13.44
020911502,812,90,11.08
020911503,842,107,12.71
020911504,497,46,9.26
020911505,1008,107,10.62
020911506,703,101,14.37
020911507,891,112,12.57
020911508,716,76,10.61
020911509,972,128,13.17
020911510,855,81,9.47
020911511,931,123,13.21
020911512,628,66,10.51
020911601,1105,143,12.94
020911602,911,101,11.09
020911603,716,82,11.45
020911604,816,87,10.66
020911605,568,80,14.08
020911606,657,72,10.96
020911607,984,151,15.35
020911608,766,108,14.1
020911609,839,107,12.75
020911610,853,114,13.36
020911611,851,112,13.16
020911612,810,90,11.11
020911613,551,83,15.06
020911701,844,117,13.86
020911702,496,53,10.69
020911703,1151,134,11.64
020911704,589,86,14.6
020911705,994,141,14.19
020911706,829,110,13.27
020911707,955,147,15.39
020911708,716,103,14.39
020911709,1162,150,12.91
020911710,1046,131,12.52
020911711,717,110,15.34
020911712,621,85,13.69
020911713,1101,192,17.44
020911801,1002,131,13.07
020911802,804,98,12.19
020911803,1082,132,12.2
020911804,832,139,16.71
020911805,797,127,15.93
020911806,704,115,16.34
020911807,850,116,13.65
020911808,793,112,14.12
020911809,465,57,12.26
020911810,784,103,13.14
020911901,821,116,14.13
020911902,973,150,15.42
020911903,740,105,14.19
020911904,655,92,14.05
020911905,815,120,14.72
020911906,509,91,17.88
020911907,615,99,16.1
020911908,704,112,15.91
020911909,657,72,10.96
020911910,1002,127,12.67
020911911,341,35,10.26
020911912,672,103,15.33
020912001,702,82,11.68
020912002,983,135,13.73
020912003,585,97,16.58
020912004,767,97,12.65
020912005,625,62,9.92
020912006,1059,117,11.05
020912007,858,103,12.0
020912008,963,103,10.7
020912009,683,81,11.86
020912010,655,86,13.13
020912011,669,71,10.61
020912012,784,110,14.03
020912101,664,84,12.65
020912102,387,63,16.28
020912103,634,83,13.09
020912104,812,105,12.93
020912105,842,129,15.32
020912106,946,114,12.05
020912107,1319,226,17.13
020912108,818,104,12.71
020912109,1212,190,15.68
020912110,887,108,12.18
020912201,1021,150,14.69
020912202,576,83,14.41
020912203,585,82,14.02
020912204,821,88,10.72
020912205,1160,146,12.59
020912206,1166,176,15.09
020912207,1126,137,12.17
020912208,1100,134,12.18
020912209,861,117,13.59
020912301,798,90,11.28
020912302,599,74,12.35
020912303,1289,197,15.28
020912304,656,81,12.35
020912305,599,86,14.36
020912306,916,111,12.12
020912307,552,61,11.05
020912308,1180,199,16.86
020912309,1132,151,13.34
020912310,524,64,12.21
020912311,923,81,8.78
020912312,507,81,15.98
020912401,546,82,15.02
020912402,620,81,13.06
020912403,724,89,12.29
020912404,811,78,9.62
020912405,672,73,10.86
020912406,821,116,14.13
020912407,783,110,14.05
020912408,888,110,12.39
020912409,972,138,14.2
020912410,774,118,15.25
020912501,569,87,15.29
020912502,656,94,14.33
020912503,833,103,12.36
020912504,759,83,10.94
020912505,517,69,13.35
020912506,721,110,15.26
020912507,1344,197,14.66
020912508,1104,156,14.13
020912601,1022,153,14.97
020912602,917,123,13.41
020912603,776,131,16.88
020912604,906,123,13.58
020912605,682,99,14.52
020912606,511,71,13.89
020912607,563,77,13.68
020912608,524,72,13.74
020912609,572,75,13.11
020912610,941,130,13.82
020912611,656,84,12.8
020912701,490,79,16.12
020912702,835,120,14.37
020912703,997,128,12.84
020912704,773,119,15.39
020912705,636,75,11.79
020912706,1138,149,13.09
020912707,381,45,11.81
020912708,724,97,13.4
020912709,883,109,12.34
020912710,436,44,10.09
020912711,567,65,11.46
020912801,737,117,15.88
020912802,492,40,8.13
020912803,711,84,11.81
020912804,607,74,12.19
020912805,706,106,15.01
020912806,909,135,14.85
020912807,923,141,15.28
020912808,1079,123,11.4
020912809,886,119,13.43
020912810,664,94,14.16
020912901,532,61,11.47
020912902,677,90,13.29
020912903,558,66,11.83
020912904,743,97,13.06
020912905,562,72,12.81
020912906,786,118,15.01
020912907,937,151,16.12
020912908,1155,166,14.37
020912909,661,79,11.95
020912910,478,68,14.23
020912911,720,86,11.94
020980101,479,81,16.91
020980102,359,57,15.88
020980103,786,97,12.34
020980104,916,136,14.85
020980105,1098,149,13.57
020980106,940,143,15.21
020980107,774,114,14.73
020980108,749,78,10.41
020980109,745,79,10.6
020980110,1162,178,15.32
020980201,1041,128,12.3
020980202,605,73,12.07
020980203,1127,167,14.82
020980204,678,60,8.85
020980205,880,116,13.18
020980206,647,82,12.67
020980207,664,91,13.7
020980208,870,125,14.37
020980209,971,90,9.27
020980210,1168,163,13.96
020980301,1469,183,12.46
020980302,558,69,12.37
020980303,718,114,15.88
020980304,821,126,15.35
020980305,1050,156,14.86
020980306,626,101,16.13
020980307,675,83,12.3
020980308,946,110,11.63
020980309,918,99,10.78
020980310,718,64,8.91
020980311,771,71,9.21
020980312,651,81,12.44
020980401,652,87,13.34
020980402,542,79,14.58
020980403,597,79,13.23
020980404,664,90,13.55
020980405,649,95,14.64
020980406,962,106,11.02
020980407,984,144,14.63
020980408,1270,143,11.26
020980409,906,102,11.26
020980410,1902,219,11.51
020980501,532,70,13.16
020980502,771,121,15.69
020980503,958,120,12.53
020980504,489,41,8.38
020980505,916,103,11.24
020980506,616,56,9.09
020980507,625,83,13.28
020980508,660,89,13.48
020980509,1216,197,16.2
020980510,1175,168,14.3
020980601,457,63,13.79
020980602,539,57,10.58
020980603,1109,110,9.92
020980604,963,101,10.49
020980605,813,117,14.39
020980606,1209,168,13.9
020980607,829,102,12.3
020980608,565,70,12.39
020980609,698,68,9.74
020980610,580,61,10.52
020980611,423,46,10.87
020980612,520,61,11.73
020980613,692,106,15.32
020980701,494,37,7.49
020980702,515,58,11.26
020980703,924,117,12.66
020980704,983,119,12.11
020980705,755,106,14.04
020980706,728,90,12.36
020980707,694,65,9.37
020980708,621,76,12.24
020980709,636,80,12.58
020980710,496,46,9.27
020980711,465,38,8.17
020980712,513,46,8.97
020980713,453,65,14.35
020980714,372,33,8.87
020980715,345,35,10.14
020980716,313,22,7.03
020980801,332,42,12.65
020980802,490,40,8.16
020980803,365,35,9.59
020980804,601,47,7.82
020980805,1227,141,11.49
020980806,1137,130,11.43
020980807,620,62,10.0
020980808,834,95,11.39
020980809,661,66,9.98
020980810,363,49,13.5
020980811,560,112,20.0
020980812,316,21,6.65
020980813,370,27,7.3
020980814,358,20,5.59
020980815,466,59,12.66
020980901,1080,256,23.7
020980902,796,207,26.01
020980903,642,109,16.98
020980904,1400,267,19.07
020980905,445,49,11.01
020980906,776,86,11.08
020980907,670,84,12.54
020980908,760,75,9.87
020980909,969,126,13.0
020980910,887,117,13.19
020980911,600,61,10.17
020980912,996,118,11.85
020980913,785,81,10.32
020980914,646,85,13.16
020980915,702,59,8.4
020980916,338,26,7.69
020981001,145,28,19.31
020981002,45,7,15.56
020981101,1167,159,13.62
020981102,411,77,18.73
020981103,882,134,15.19
020981104,827,125,15.11
020981105,975,149,15.28
020981106,910,116,12.75
020981107,719,104,14.46
020981108,1262,178,14.1
020981109,827,65,7.86
020981110,470,41,8.72
020981111,585,40,6.84
020981112,883,101,11.44
020981113,293,38,12.97
020981114,541,77,14.23
020981115,539,71,13.17
020981116,364,35,9.62
020981117,396,42,10.61
020981201,646,72,11.15
020981202,785,86,10.96
020981203,748,82,10.96
020981204,848,58,6.84
020981205,1013,121,11.94
020981206,754,78,10.34
020981207,387,49,12.66
020981208,446,46,10.31
020981209,529,54,10.21
020981210,897,109,12.15
020981211,569,51,8.96
020981212,340,57,16.76
020981301,703,77,10.95
020981302,701,46,6.56
020981303,1073,98,9.13
020981304,550,57,10.36
020981305,688,78,11.34
020981306,586,58,9.9
020981307,168,20,11.9
020981308,573,62,10.82
020981309,607,49,8.07
020981310,616,58,9.42
020981311,554,65,11.73
020981312,557,65,11.67
020981401,791,79,9.99
020981402,688,90,13.08
020981403,1085,138,12.72
020981404,380,37,9.74
020981405,447,40,8.95
020981406,405,43,10.62
020981407,277,37,13.36
020981408,952,85,8.93
020981409,932,142,15.24
020981410,678,67,9.88
020981411,849,85,10.01
020981501,885,123,13.9
020981502,1113,104,9.34
020981503,799,78,9.76
020981504,938,106,11.3
020981505,1005,137,13.63
020981506,1043,142,13.61
020981507,703,67,9.53
020981508,1608,178,11.07
020981601,1319,166,12.59
020981602,966,144,14.91
020981603,1371,179,13.06
020981604,1413,218,15.43
020981605,933,133,14.26
020981606,390,66,16.92
020981607,381,50,13.12
020981701,974,123,12.63
020981702,791,89,11.25
020981703,902,107,11.86
020981704,447,55,12.3
020981705,878,134,15.26
020981706,966,155,16.05
020981707,804,115,14.3
020981708,1469,195,13.27
020981801,736,80,10.87
020981802,803,114,14.2
020981803,1026,130,12.67
020981804,852,117,13.73
020981805,1262,182,14.42
020981806,838,133,15.87
020981807,616,62,10.06
020981808,848,81,9.55
020981901,575,64,11.13
020981902,1016,109,10.73
020981903,1365,182,13.33
020981904,1349,132,9.79
020981905,1284,167,13.01
020982001,1250,130,10.4
020982002,1662,144,8.66
020982003,1052,122,11.6
020982004,854,101,11.83
020982005,743,74,9.96
020982006,673,58,8.62
020982007,524,59,11.26
020982101,971,111,11.43
020982102,472,59,12.5
020982103,353,38,10.76
020982104,639,76,11.89
020982105,332,36,10.84
020982106,808,92,11.39
020982107,657,65,9.89
020982108,808,66,8.17
020982109,713,93,13.04
020982110,665,53,7.97
020982111,894,82,9.17
020982201,787,75,9.53
020982202,952,84,8.82
020982203,556,76,13.67
020982204,616,47,7.63
020982205,967,125,12.93
020982206,802,95,11.85
020982207,657,76,11.57
020982208,811,61,7.52
020982209,399,40,10.03
020982210,377,34,9.02
020982211,730,77,10.55
020982212,709,79,11.14
020982301,984,141,14.33
020982302,636,76,11.95
020982303,753,88,11.69
020982304,923,74,8.02
020982305,1346,145,10.77
020982306,426,47,11.03
020982307,690,80,11.59
020982308,704,79,11.22
020982309,670,79,11.79
020982310,671,74,11.03
020982311,1104,100,9.06
020982312,789,91,11.53
020982313,808,64,7.92
020982314,508,52,10.24
020982401,663,82,12.37
020982402,503,51,10.14
020982403,676,52,7.69
020982404,580,62,10.69
020982405,904,103,11.39
020982406,720,60,8.33
020982407,721,69,9.57
020982408,682,71,10.41
020982409,750,79,10.53
020982501,1064,141,13.25
020982502,681,67,9.84
020982503,805,93,11.55
020982504,605,54,8.93
020982505,778,89,11.44
020982506,817,75,9.18
020982507,944,88,9.32
020982508,1064,118,11.09
020982509,879,90,10.24
020982601,1083,116,10.71
020982602,709,86,12.13
020982603,365,34,9.32
020982604,1642,212,12.91
020982605,845,75,8.88
020982606,849,107,12.6
020982607,1065,114,10.7
020982701,1373,154,11.22
020982702,1111,115,10.35
020982703,614,64,10.42
020982704,1134,105,9.26
020982705,1138,133,11.69
020982706,532,50,9.4
020982707,297,34,11.45
020982801,723,89,12.31
020982802,624,87,13.94
020982803,616,64,10.39
020982804,672,70,10.42
020982805,630,69,10.95
020982806,1089,108,9.92
020982807,812,89,10.96
020982808,574,44,7.67
020982809,620,54,8.71
020982810,983,127,12.92
020982811,1248,155,12.42
020982812,652,70,10.74
020982901,673,65,9.66
020982902,599,74,12.35
020982903,693,72,10.39
020982904,839,87,10.37
020982905,634,58,9.15
020982906,962,99,10.29
020982907,762,84,11.02
020982908,698,78,11.17
020982909,939,115,12.25
020982910,853,86,10.08
020982911,801,120,14.98
020983001,866,127,14.67
020983002,988,137,13.87
020983003,866,103,11.89
020983004,751,102,13.58
020983005,866,100,11.55
020983006,493,58,11.76
020983007,551,75,13.61
020983008,1713,206,12.03
020983009,1015,99,9.75
020983101,693,116,16.74
020983102,742,116,15.63
020983103,768,135,17.58
020983104,733,114,15.55
020983105,661,107,16.19
020983106,1008,142,14.09
020983107,820,111,13.54
020983108,627,80,12.76
020983109,559,69,12.34
020983110,528,67,12.69
020983111,418,34,8.13
020983112,559,53,9.48
021050101,1100,183,16.64
021050102,985,137,13.91
021050103,792,133,16.79
021050104,598,81,13.55
021050105,771,110,14.27
021050106,714,102,14.29
021050107,731,134,18.33
021050108,742,131,17.65
021050109,848,140,16.51
021050110,955,128,13.4
021050111,602,98,16.28
021050112,756,123,16.27
021050201,619,93,15.02
021050202,785,117,14.9
021050203,836,129,15.43
021050204,477,72,15.09
021050205,487,81,16.63
021050206,656,80,12.2
021050207,648,94,14.51
021050208,630,101,16.03
021050209,697,91,13.06
021050210,713,128,17.95
021050301,769,109,14.17
021050302,916,111,12.12
021050303,580,86,14.83
021050304,837,123,14.7
021050305,735,140,19.05
021050306,642,88,13.71
021050307,707,102,14.43
021050308,848,113,13.33
021050309,889,136,15.3
021050310,822,124,15.09
021050311,676,68,10.06
021050312,1113,189,16.98
021050313,701,77,10.98
021050401,1055,139,13.18
021050402,960,148,15.42
021050403,851,113,13.28
021050404,789,114,14.45
021050405,735,125,17.01
021050406,1169,155,13.26
021050407,925,120,12.97
021050408,741,103,13.9
021050409,786,111,14.12
021050410,780,107,13.72
021050411,955,149,15.6
021050412,934,121,12.96
021050413,775,98,12.65
021050414,780,118,15.13
021050501,659,95,14.42
021050502,1059,146,13.79
021050503,761,95,12.48
021050504,727,71,9.77
021050505,1075,132,12.28
021050506,1118,134,11.99
021050507,1063,142,13.36
021050508,1136,167,14.7
021050509,697,111,15.93
021050510,751,118,15.71
021050511,764,118,15.45
021050512,957,151,15.78
021050513,960,145,15.1
021050514,480,65,13.54
021050601,658,101,15.35
021050602,575,87,15.13
021050603,601,79,13.14
021050604,599,101,16.86
021050605,572,76,13.29
021050606,504,74,14.68
021050607,647,83,12.83
021050701,840,123,14.64
021050702,659,99,15.02
021050703,659,98,14.87
021050704,584,99,16.95
021050705,915,124,13.55
021050706,458,68,14.85
021050707,966,117,12.11
021050708,1001,150,14.99
021050709,808,104,12.87
021050710,1098,183,16.67
021050711,944,147,15.57
021050712,848,112,13.21
021050713,2505,800,31.94
021050801,912,128,14.04
021050802,462,54,11.69
021050803,1094,145,13.25
021050804,816,116,14.22
021050805,685,89,12.99
021050806,819,91,11.11
021050807,816,110,13.48
021050808,720,99,13.75
021050809,1422,225,15.82
021050810,1061,127,11.97
021050901,670,86,12.84
021050902,504,63,12.5
021050903,700,96,13.71
021050904,744,143,19.22
021050905,701,114,16.26
021050906,487,86,17.66
021050907,612,106,17.32
021050908,990,248,25.05
021050909,1306,312,23.89
021050910,1159,332,28.65
021050911,772,220,28.5
021051001,863,119,13.79
021051002,882,91,10.32
021051003,1044,132,12.64
021051004,903,109,12.07
021051005,907,147,16.21
021051006,594,82,13.8
021051007,882,116,13.15
021051008,772,102,13.21
021051009,1086,164,15.1
021051010,717,81,11.3
021051011,595,95,15.97
021051012,733,121,16.51
021051013,835,87,10.42
021051101,527,70,13.28
021051102,634,89,14.04
021051103,745,108,14.5
021051104,1140,167,14.65
021051105,790,118,14.94
021051106,722,123,17.04
021051107,695,87,12.52
021051108,745,76,10.2
021051109,999,143,14.31
021051110,628,84,13.38
021051111,891,108,12.12
021051112,929,99,10.66
021051113,895,109,12.18
021051114,454,46,10.13
021051115,407,39,9.58
021051116,662,74,11.18
021051201,799,117,14.64
021051202,723,95,13.14
021051203,723,88,12.17
021051204,1145,112,9.78
021051205,856,113,13.2
021051206,748,80,10.7
021051207,536,58,10.82
021051208,507,54,10.65
021051209,604,72,11.92
021051210,567,62,10.93
021051301,805,116,14.41
021051302,435,72,16.55
021051303,692,83,11.99
021051304,552,66,11.96
021051305,653,81,12.4
021051306,862,119,13.81
021051307,732,122,16.67
021051308,513,64,12.48
021051309,1129,146,12.93
021051310,869,93,10.7
021051401,887,107,12.06
021051402,924,123,13.31
021051403,653,74,11.33
021051404,937,146,15.58
021051405,1132,166,14.66
021051406,573,55,9.6
021051407,869,128,14.73
021051408,1108,136,12.27
021051409,798,98,12.28
021051410,691,85,12.3
021051411,992,119,12.0
021051501,665,61,9.17
021051502,677,121,17.87
021051503,907,108,11.91
021051504,1177,156,13.25
021051505,827,122,14.75
021051506,1004,156,15.54
021051507,829,98,11.82
021051508,743,102,13.73
021051509,1289,204,15.83
021051510,973,116,11.92
021051601,983,108,10.99
021051602,848,124,14.62
021051603,960,119,12.4
021051604,706,88,12.46
021051605,527,53,10.06
021051606,891,113,12.68
021051607,814,108,13.27
021051608,871,115,13.2
021051609,650,80,12.31
021051610,1091,155,14.21
021051611,570,62,10.88
021051701,716,94,13.13
021051702,707,80,11.32
021051703,810,96,11.85
021051704,751,99,13.18
021051705,843,105,12.46
021051706,626,72,11.5
021051707,744,91,12.23
021051708,581,69,11.88
021051709,628,80,12.74
021051710,891,135,15.15
021051711,784,88,11.22
021051712,672,94,13.99
021051801,539,73,13.54
021051802,471,66,14.01
021051803,976,96,9.84
021051804,561,65,11.59
021051805,632,82,12.97
021051806,595,76,12.77
021051807,719,98,13.63
021051808,541,68,12.57
021051809,632,99,15.66
021051810,521,65,12.48
021051811,689,96,13.93
021051812,690,86,12.46
021051813,595,59,9.92
021051901,574,70,12.2
021051902,881,131,14.87
021051903,700,82,11.71
021051904,847,111,13.11
021051905,1040,124,11.92
021051906,904,105,11.62
021051907,842,107,12.71
021051908,680,77,11.32
021051909,766,101,13.19
021051910,877,90,10.26
021051911,628,75,11.94
021052001,1159,161,13.89
021052002,920,125,13.59
021052003,828,96,11.59
021052004,712,103,14.47
021052005,647,76,11.75
021052006,686,74,10.79
021052007,789,110,13.94
021052008,503,76,15.11
021052009,421,52,12.35
021052010,729,98,13.44
021052011,750,88,11.73
021052012,643,68,10.58
021052101,1002,132,13.17
021052102,1036,140,13.51
021052103,678,69,10.18
021052104,790,88,11.14
021052105,624,102,16.35
021052106,1529,210,13.73
021052107,577,70,12.13
021052108,732,84,11.48
021052109,1199,147,12.26
021052110,981,109,11.11
021052111,868,126,14.52
021052112,611,81,13.26
021052113,794,98,12.34
