cod_radio,hogares_total,hogares_nbi,pct_nbi
020281206,389,51,13.11
020281207,334,35,10.48
020281208,227,24,10.57
020281209,364,2,0.55
020281210,327,18,5.5
020281211,265,9,3.4
020281212,359,1,0.28
020281301,463,5,1.08
020281302,323,25,7.74
020281303,300,24,8.0
020281304,249,2,0.8
020281305,458,2,0.44
020281306,237,23,9.7
020281307,503,4,0.8
020281308,193,29,15.03
020281309,201,3,1.49
020281310,246,1,0.41
020281311,501,8,1.6
020281401,333,67,20.12
020281402,199,3,1.51
020281403,327,15,4.59
020281404,440,6,1.36
020281405,331,2,0.6
020281406,319,16,5.02
020281407,428,46,10.75
020281408,270,17,6.3
020281409,285,27,9.47
020281501,390,7,1.79
020281502,693,7,1.01
020281503,559,9,1.61
020281504,308,2,0.65
020281505,290,8,2.76
020281506,434,36,8.29
020281507,292,1,0.34
020281508,324,3,0.93
020281509,349,10,2.87
020281510,222,3,1.35
020281601,177,5,2.82
020281602,884,24,2.71
020281603,356,5,1.4
020281604,266,17,6.39
020281605,335,3,0.9
020281606,347,24,6.92
020281607,176,1,0.57
020281608,541,34,6.28
020281609,423,18,4.26
020281610,304,38,12.5
020281701,387,8,2.07
020281702,300,12,4.0
020281703,311,17,5.47
020281704,293,1,0.34
020281705,346,0,0.0
020281706,302,1,0.33
020281707,283,19,6.71
020281708,389,79,20.31
020281709,391,5,1.28
020281710,317,30,9.46
020281801,12,1,8.33
020281901,292,41,14.04
020281902,284,23,8.1
020281903,379,41,10.82
020281904,426,54,12.68
020281905,293,15,5.12
020281906,433,138,31.87
020281907,238,74,31.09
020281908,215,59,27.44
020281909,379,105,27.7
020281910,294,80,27.21
020281911,341,96,28.15
020282001,329,24,7.29
020282002,273,20,7.33
020282003,348,38,10.92
020282004,257,89,34.63
020282005,200,29,14.5
020282006,332,39,11.75
020282007,242,22,9.09
020282008,275,35,12.73
020282009,381,50,13.12
020282010,398,95,23.87
020282011,420,45,10.71
020282012,548,18,3.28
020282101,282,52,18.44
020282102,252,91,36.11
020282103,248,79,31.85
020282104,245,41,16.73
020282105,261,41,15.71
020282106,273,29,10.62
020282107,302,31,10.26
020282108,317,97,30.6
020282109,237,86,36.29
020282110,293,136,46.42
020282111,290,67,23.1
020282112,239,29,12.13
020282113,241,2,0.83
020282201,274,12,4.38
020282202,352,24,6.82
020282203,390,5,1.28
020282204,530,5,0.94
020282205,339,23,6.78
020282206,269,3,1.12
020282207,438,3,0.68
020282208,457,51,11.16
020282209,291,26,8.93
020282210,250,5,2.0
020282211,308,17,5.52
020282212,252,46,18.25
020282301,376,50,13.3
020282302,367,42,11.44
020282303,233,37,15.88
020282304,279,7,2.51
020282305,371,7,1.89
020282306,384,17,4.43
020282307,247,11,4.45
020282308,343,11,3.21
020282309,182,16,8.79
020282310,360,24,6.67
020282311,216,54,25.0
020282312,257,37,14.4
020282401,286,42,14.69
020282402,238,34,14.29
020282403,115,13,11.3
020282404,163,26,15.95
020282405,170,28,16.47
020282406,187,22,11.76
020282407,126,8,6.35
020282408,104,6,5.77
020282409,109,10,9.17
020282501,327,83,25.38
020282502,471,97,20.59
020282503,244,36,14.75
020282504,312,46,14.74
020282505,154,28,18.18
020282506,308,55,17.86
020282507,139,23,16.55
020282508,316,76,24.05
020282509,292,68,23.29
020282510,228,64,28.07
020282511,178,33,18.54
020282512,315,76,24.13
020282601,400,49,12.25
020282602,308,17,5.52
020282603,289,22,7.61
020282701,248,1,0.4
020282702,280,0,0.0
020282703,191,1,0.52
020282704,158,4,2.53
020282705,111,1,0.9
020282706,116,3,2.59
020282707,438,9,2.05
020282801,152,16,10.53
020282802,277,38,13.72
020282803,162,22,13.58
020282804,239,44,18.41
020282805,205,41,20.0
020282806,375,86,22.93
020282807,211,50,23.7
020282808,274,60,21.9
020282809,210,28,13.33
020282810,162,21,12.96
020282811,148,16,10.81
020282901,265,55,20.75
020282902,264,47,17.8
020282903,117,14,11.97
020282904,118,10,8.47
020282905,199,25,12.56
020282906,171,27,15.79
020282907,253,45,17.79
020282908,234,27,11.54
020350101,490,29,5.92
020350102,537,29,5.4
020350103,495,38,7.68
020350104,262,12,4.58
020350105,393,6,1.53
020350106,353,21,5.95
020350107,357,13,3.64
020350108,430,20,4.65
020350109,411,14,3.41
020350110,399,8,2.01
020350111,277,4,1.44
020350112,254,2,0.79
020350201,476,9,1.89
020350202,341,23,6.74
020350203,437,10,2.29
020350204,545,7,1.28
020350205,280,22,7.86
020350206,301,20,6.64
020350207,349,103,29.51
020350208,490,5,1.02
020350209,380,51,13.42
020350210,356,39,10.96
020350211,457,50,10.94
020350301,361,51,14.13
020350302,269,17,6.32
020350303,279,72,25.81
020350304,318,42,13.21
020350305,380,20,5.26
020350306,406,22,5.42
020350307,411,45,10.95
020350308,189,6,3.17
020350309,334,57,17.07
020350310,304,19,6.25
020350311,436,18,4.13
020350312,349,33,9.46
020350313,349,90,25.79
020350401,602,18,2.99
020350402,388,7,1.8
020350403,431,11,2.55
020350404,542,3,0.55
020350405,458,14,3.06
020350406,600,4,0.67
020350407,337,6,1.78
020350408,550,20,3.64
020350409,349,21,6.02
020350501,416,6,1.44
020350502,610,11,1.8
020350503,393,15,3.82
020350504,376,16,4.26
020350505,347,1,0.29
020350506,332,13,3.92
020350507,500,14,2.8
020350508,375,3,0.8
020350601,329,7,2.13
020350602,481,12,2.49
020350603,475,7,1.47
020350604,731,4,0.55
020350605,654,6,0.92
020350606,388,2,0.52
020350607,524,10,1.91
020350608,443,3,0.68
020350701,622,5,0.8
020350702,262,2,0.76
020350703,287,22,7.67
020350704,731,32,4.38
020350705,763,30,3.93
020350706,384,44,11.46
020350707,237,17,7.17
020350708,513,70,13.65
020350801,630,60,9.52
020350802,367,23,6.27
020350803,631,34,5.39
020350804,436,14,3.21
020350805,196,15,7.65
020350806,496,29,5.85
020350807,510,35,6.86
020350808,476,40,8.4
020350809,381,12,3.15
020350901,546,5,0.92
020350902,394,9,2.28
020350903,317,4,1.26
020350904,264,4,1.52
020350905,318,28,8.81
020350906,421,10,2.38
020350907,303,6,1.98
020350908,525,13,2.48
020350909,472,43,9.11
020350910,402,10,2.49
020351001,713,30,4.21
020351002,636,35,5.5
020351003,377,55,14.59
020351004,265,12,4.53
020351005,151,3,1.99
020351006,396,43,10.86
020351007,615,8,1.3
020351008,242,5,2.07
020351009,442,14,3.17
020351010,337,51,15.13
020351101,408,30,7.35
020351102,414,5,1.21
020351103,391,6,1.53
020351104,347,7,2.02
020351105,413,11,2.66
020351106,320,6,1.88
020351107,639,16,2.5
020351108,402,20,4.98
020351109,450,15,3.33
020351110,374,1,0.27
020351111,386,9,2.33
020351201,479,53,11.06
020351202,919,16,1.74
020351203,467,26,5.57
020351204,357,4,1.12
020351205,242,4,1.65
020351206,892,39,4.37
020351207,295,2,0.68
020351301,404,5,1.24
020351302,388,3,0.77
020351303,376,21,5.59
020351304,372,28,7.53
020351305,398,35,8.79
020351306,476,36,7.56
020351307,417,13,3.12
020351308,410,3,0.73
020351309,483,7,1.45
020351401,297,1,0.34
020351402,524,29,5.53
020351403,667,9,1.35
020351404,489,6,1.23
020351405,853,40,4.69
020351406,633,12,1.9
020351407,228,24,10.53
020351408,410,3,0.73
020351409,494,46,9.31
020351501,499,21,4.21
020351502,564,10,1.77
020351503,305,13,4.26
020351504,588,51,8.67
020351505,518,19,3.67
020351506,420,69,16.43
020351507,339,30,8.85
020351508,337,103,30.56
020351509,233,45,19.31
020351601,563,32,5.68
020351602,319,11,3.45
020351603,224,35,15.62
020351604,494,39,7.89
020351605,490,18,3.67
020351606,401,19,4.74
020351607,353,73,20.68
020351608,502,57,11.35
020351609,464,39,8.41
020351610,613,35,5.71
020351611,358,9,2.51
020351612,211,1,0.47
020351701,374,32,8.56
020351702,379,37,9.76
020351703,297,12,4.04
020351704,387,7,1.81
020351705,390,2,0.51
020351706,423,2,0.47
020351707,355,34,9.58
020351708,470,29,6.17
020351709,332,10,3.01
020351710,403,2,0.5
020351711,523,7,1.34
020351801,531,24,4.52
020351802,469,18,3.84
020351803,578,19,3.29
020351804,315,30,9.52
020351805,449,27,6.01
020351806,231,17,7.36
020351807,327,12,3.67
020351808,184,4,2.17
020351809,327,20,6.12
020351810,381,2,0.52
020351811,461,11,2.39
020351901,403,24,5.96
020351902,356,4,1.12
020351903,458,36,7.86
020351904,407,23,5.65
020351905,375,16,4.27
020351906,470,29,6.17
020351907,242,19,7.85
020351908,504,4,0.79
020351909,315,4,1.27
020351910,454,12,2.64
020351911,522,28,5.36
020352001,402,26,6.47
020352002,596,24,4.03
020352003,454,55,12.11
020352004,354,8,2.26
020352005,357,22,6.16
020352006,388,22,5.67
020352007,270,11,4.07
020352008,408,31,7.6
020352009,339,9,2.65
020352010,454,11,2.42
020352011,305,20,6.56
020352012,414,25,6.04
020352101,309,6,1.94
020352102,392,25,6.38
020352103,346,35,10.12
020352104,562,15,2.67
020352105,329,6,1.82
020352106,423,15,3.55
020352107,366,26,7.1
020352108,244,13,5.33
020352109,240,9,3.75
020352110,280,11,3.93
020352111,291,3,1.03
020352112,345,12,3.48
020352201,317,6,1.89
020352202,354,23,6.5
020352203,420,31,7.38
020352204,489,10,2.04
020352205,282,8,2.84
020352206,314,37,11.78
020352207,762,23,3.02
020352208,255,18,7.06
020352209,358,9,2.51
020352210,304,14,4.61
020352211,334,15,4.49
020352212,368,9,2.45
020352213,238,11,4.62
020420101,289,26,9.0
020420102,365,11,3.01
020420103,443,41,9.26
020420104,401,23,5.74
020420105,497,17,3.42
020420106,456,24,5.26
020420107,274,4,1.46
020420108,315,9,2.86
020420109,263,7,2.66
020420110,172,5,2.91
020420111,414,26,6.28
020420112,291,2,0.69
020420201,489,104,21.27
020420202,388,6,1.55
020420203,285,13,4.56
020420204,290,27,9.31
020420205,260,5,1.92
020420206,404,15,3.71
020420207,449,11,2.45
020420208,412,14,3.4
020420209,222,4,1.8
020420210,421,5,1.19
020420211,301,30,9.97
020420212,398,25,6.28
020420301,422,6,1.42
020420302,355,6,1.69
020420303,413,4,0.97
020420304,304,3,0.99
020420305,347,5,1.44
020420306,442,2,0.45
020420307,417,2,0.48
020420308,347,3,0.86
020420309,303,2,0.66
020420310,449,7,1.56
020420311,291,4,1.37
020420401,238,7,2.94
020420402,361,52,14.4
020420403,459,27,5.88
020420404,501,12,2.4
020420405,345,6,1.74
020420406,597,8,1.34
020420407,308,24,7.79
020420408,537,41,7.64
020420409,418,15,3.59
020420410,541,16,2.96
020420411,449,6,1.34
020420412,252,3,1.19
020420501,387,2,0.52
020420502,414,2,0.48
020420503,527,14,2.66
020420504,444,1,0.23
020420505,478,14,2.93
020420506,370,6,1.62
020420507,593,1,0.17
020420508,272,3,1.1
020420509,385,1,0.26
020420510,606,3,0.5
020420511,478,5,1.05
020420512,214,24,11.21
020420513,229,0,0.0
020420601,699,31,4.43
020420602,967,28,2.9
020420603,564,41,7.27
020420604,311,9,2.89
020420605,250,9,3.6
020420606,569,7,1.23
020420607,480,20,4.17
020420608,562,22,3.91
020420609,438,4,0.91
020420701,348,7,2.01
020420702,596,28,4.7
020420703,295,8,2.71
020420704,616,44,7.14
020420705,547,24,4.39
020420706,384,35,9.11
020420707,591,34,5.75
020420708,374,30,8.02
020420709,407,28,6.88
020420710,363,20,5.51
020420711,396,42,10.61
020420712,434,30,6.91
020420713,322,7,2.17
020420801,413,18,4.36
020420802,506,55,10.87
020420803,340,17,5.0
020420804,356,32,8.99
020420805,343,18,5.25
020420806,578,31,5.36
020420807,455,39,8.57
020420808,345,8,2.32
020420809,327,29,8.87
020420810,467,23,4.93
020420811,348,52,14.94
020420901,334,5,1.5
020420902,297,9,3.03
020420903,280,11,3.93
020420904,503,12,2.39
020420905,184,0,0.0
020420906,453,10,2.21
020420907,298,48,16.11
020420908,268,8,2.99
020420909,411,39,9.49
020420910,399,9,2.26
020421001,406,10,2.46
020421002,374,2,0.53
020421003,467,4,0.86
020421004,379,9,2.37
020421005,450,2,0.44
020421006,491,3,0.61
020421007,357,8,2.24
020421008,656,10,1.52
020421009,348,11,3.16
020421010,550,1,0.18
020421101,604,34,5.63
020421102,311,2,0.64
020421103,460,9,1.96
020421104,437,3,0.69
020421105,847,6,0.71
020421106,469,3,0.64
020421107,423,11,2.6
020421108,500,24,4.8
020421109,468,9,1.92
020421110,318,2,0.63
020421201,246,8,3.25
020421202,442,9,2.04
020421203,459,9,1.96
020421204,234,7,2.99
020421205,399,3,0.75
020421206,269,5,1.86
020421207,491,5,1.02
020421208,368,4,1.09
020421209,327,5,1.53
020421210,269,2,0.74
020421211,324,8,2.47
020421212,166,0,0.0
020421301,419,2,0.48
020421302,617,27,4.38
020421303,359,2,0.56
020421304,596,13,2.18
020421305,501,4,0.8
020421306,346,1,0.29
020421307,284,2,0.7
020421308,258,1,0.39
020421309,271,1,0.37
020421310,311,12,3.86
020421311,259,6,2.32
020421312,377,2,0.53
020421313,338,0,0.0
020421401,436,1,0.23
020421402,329,1,0.3
020421403,403,43,10.67
020421404,576,3,0.52
020421405,580,5,0.86
020421406,348,12,3.45
020421407,266,3,1.13
020421408,287,4,1.39
020421409,448,3,0.67
020421410,359,12,3.34
020421411,268,1,0.37
020421412,289,9,3.11
020421501,351,3,0.85
020421502,860,14,1.63
020421503,402,5,1.24
020421504,377,0,0.0
020421505,432,3,0.69
020421506,355,1,0.28
020421507,494,16,3.24
020421508,401,9,2.24
020421509,296,0,0.0
020421510,387,6,1.55
020421601,307,1,0.33
020421602,455,1,0.22
020421603,329,33,10.03
020421604,388,3,0.77
020421605,518,51,9.85
020421606,525,3,0.57
020421607,521,3,0.58
020421608,484,1,0.21
020421609,616,0,0.0
020421610,126,6,4.76
020421611,484,8,1.65
020421612,341,4,1.17
020421613,420,5,1.19
020421614,557,1,0.18
020421701,414,0,0.0
020421702,464,29,6.25
020421703,339,6,1.77
020421704,404,3,0.74
020421705,892,12,1.35
020421706,717,28,3.91
020421707,332,0,0.0
020421801,340,2,0.59
020421802,404,16,3.96
020421803,356,14,3.93
020421804,349,5,1.43
020421805,428,14,3.27
020421806,478,21,4.39
020421807,528,30,5.68
020421808,518,6,1.16
020421809,441,18,4.08
020421901,395,2,0.51
020421902,697,6,0.86
020421903,650,3,0.46
020421904,475,7,1.47
020421905,308,10,3.25
020421906,514,7,1.36
020421907,463,2,0.43
020421908,465,6,1.29
020422001,258,16,6.2
020422002,348,12,3.45
020422003,756,15,1.98
020422004,299,5,1.67
020422005,435,5,1.15
020422006,419,1,0.24
020422007,280,6,2.14
020422008,587,13,2.21
020422009,463,23,4.97
020422010,411,5,1.22
020422101,467,39,8.35
020422102,559,49,8.77
020422103,406,7,1.72
020422104,390,2,0.51
020422105,437,2,0.46
020422106,268,4,1.49
020422107,480,56,11.67
020422108,395,21,5.32
020422109,472,3,0.64
020422110,492,5,1.02
020422111,570,2,0.35
020422112,231,1,0.43
020490101,245,27,11.02
020490102,355,30,8.45
020490103,323,19,5.88
020490104,189,21,11.11
020490105,160,15,9.38
020490106,128,5,3.91
020490107,139,10,7.19
020490108,348,12,3.45
020490109,307,76,24.76
020490110,357,37,10.36
020490111,231,6,2.6
020490201,378,10,2.65
020490202,545,29,5.32
020490203,327,38,11.62
020490204,417,64,15.35
020490205,366,90,24.59
020490206,436,18,4.13
020490207,305,64,20.98
020490208,351,62,17.66
020490209,407,41,10.07
020490301,446,14,3.14
020490302,488,12,2.46
020490303,462,55,11.9
020490304,380,24,6.32
020490305,342,31,9.06
020490306,481,20,4.16
020490307,272,5,1.84
020490308,351,9,2.56
020490309,330,11,3.33
020490310,274,5,1.82
020490311,288,1,0.35
020490312,292,16,5.48
020490313,320,31,9.69
020490401,418,49,11.72
020490402,346,14,4.05
020490403,461,7,1.52
020490404,507,5,0.99
020490405,456,10,2.19
020490406,421,7,1.66
020490407,303,6,1.98
020490408,285,5,1.75
020490409,254,12,4.72
020490410,628,6,0.96
020490411,414,64,15.46
020490501,417,5,1.2
020490502,350,3,0.86
020490503,228,2,0.88
020490504,553,6,1.08
020490505,354,6,1.69
020490506,335,8,2.39
020490507,432,6,1.39
020490508,345,4,1.16
020490509,529,81,15.31
020490510,357,4,1.12
020490511,417,21,5.04
020490601,435,6,1.38
020490602,332,8,2.41
020490603,299,52,17.39
020490604,345,79,22.9
020490605,499,56,11.22
020490606,379,27,7.12
020490607,432,8,1.85
020490608,200,2,1.0
020490609,300,22,7.33
020490701,247,6,2.43
020490702,203,17,8.37
020490703,489,36,7.36
020490704,274,41,14.96
020490705,311,117,37.62
020490706,482,84,17.43
020490707,290,67,23.1
020490708,323,19,5.88
020490709,522,129,24.71
020490710,483,32,6.63
020490711,312,12,3.85
020490801,419,19,4.53
020490802,560,31,5.54
020490803,326,5,1.53
020490804,483,9,1.86
020490805,564,22,3.9
020490806,523,12,2.29
020490807,338,12,3.55
020490808,631,40,6.34
020490901,312,5,1.6
020490902,326,23,7.06
020490903,313,7,2.24
020490904,459,17,3.7
020490905,323,5,1.55
020490906,538,28,5.2
020490907,370,14,3.78
020490908,687,38,5.53
020490909,402,74,18.41
020490910,442,23,5.2
020490911,355,27,7.61
020491001,492,16,3.25
020491002,251,18,7.17
020491003,263,9,3.42
020491004,335,4,1.19
020491005,330,6,1.82
020491006,495,54,10.91
020491007,418,11,2.63
020491008,527,10,1.9
020491009,385,9,2.34
020491010,462,15,3.25
020491101,440,16,3.64
020491102,427,21,4.92
020491103,435,24,5.52
020491104,559,11,1.97
020491105,353,6,1.7
020491106,496,12,2.42
020491107,613,8,1.31
020491108,293,72,24.57
020491109,500,4,0.8
020491110,306,4,1.31
020491111,393,4,1.02
020491201,532,13,2.44
020491202,258,0,0.0
020491203,335,28,8.36
020491204,327,1,0.31
020491205,319,1,0.31
020491206,372,18,4.84
020491207,275,9,3.27
020491208,341,36,10.56
020491209,361,7,1.94
020491301,486,40,8.23
020491302,434,10,2.3
020491303,527,6,1.14
020491304,310,2,0.65
020491305,332,2,0.6
020491306,308,6,1.95
020491307,351,17,4.84
020491308,379,10,2.64
020491309,196,3,1.53
020491310,238,5,2.1
020491311,347,8,2.31
020491312,268,0,0.0
020491313,231,3,1.3
020491314,253,3,1.19
020491315,178,2,1.12
020491401,383,9,2.35
020491402,429,42,9.79
020491403,305,15,4.92
020491404,284,4,1.41
020491405,349,13,3.72
020491406,406,10,2.46
020491407,359,13,3.62
020491408,328,18,5.49
020491409,291,6,2.06
020491410,257,5,1.95
020491411,413,15,3.63
020491412,366,5,1.37
020491413,261,8,3.07
020491501,316,28,8.86
020491502,305,33,10.82
020491503,374,34,9.09
020491504,281,9,3.2
020491505,295,13,4.41
020491506,372,4,1.08
020491507,341,7,2.05
020491508,330,1,0.3
020491509,410,7,1.71
020491510,382,13,3.4
020491511,379,26,6.86
020491601,271,6,2.21
020491602,293,6,2.05
020491603,290,4,1.38
020491604,282,4,1.42
020491605,280,14,5.0
020491606,328,5,1.52
020491607,404,24,5.94
020491608,380,19,5.0
020491609,463,39,8.42
020491701,296,52,17.57
020491702,78,19,24.36
020491703,37,10,27.03
020491704,73,9,12.33
020491705,36,5,13.89
020491706,92,15,16.3
020491707,72,14,19.44
020491708,33,10,30.3
020491709,62,12,19.35
020491710,77,20,25.97
020491711,29,6,20.69
020491712,33,3,9.09
020491713,23,5,21.74
020491801,75,14,18.67
020491802,67,17,25.37
020491803,71,10,14.08
020491804,87,14,16.09
020491805,97,11,11.34
020491806,119,22,18.49
020491807,172,16,9.3
020491808,62,1,1.61
020491809,65,9,13.85
020491810,64,15,23.44
020491811,23,3,13.04
020491812,13,0,0.0
020491813,115,14,12.17
020491901,287,44,15.33
020491902,284,63,22.18
020491903,326,103,31.6
020491904,429,60,13.99
020491905,313,61,19.49
020491906,404,45,11.14
020492001,456,18,3.95
020492002,262,4,1.53
020492003,312,4,1.28
020492004,276,15,5.43
020492005,340,13,3.82
020492006,309,23,7.44
020492007,293,8,2.73
020492008,609,19,3.12
020492009,355,27,7.61
020492010,533,61,11.44
020492011,380,21,5.53
020492012,265,11,4.15
020492013,554,6,1.08
020492101,550,27,4.91
020492102,426,3,0.7
020492103,627,37,5.9
020492104,283,0,0.0
020492105,291,3,1.03
020492106,327,5,1.53
020492107,429,8,1.86
020492108,214,2,0.93
020492109,465,3,0.65
020492110,473,2,0.42
020492111,401,4,1.0
020492112,322,3,0.93
020492113,228,1,0.44
020492114,292,2,0.68
020492201,490,6,1.22
020492202,372,8,2.15
020492203,471,4,0.85
020492204,426,4,0.94
020492205,488,6,1.23
020492206,496,3,0.6
020492207,334,4,1.2
020492208,342,10,2.92
020492209,220,15,6.82
020492210,316,22,6.96
020492211,342,1,0.29
020492212,275,5,1.82
020492213,324,1,0.31
020492214,314,0,0.0
020492301,389,14,3.6
020492302,400,5,1.25
020492303,346,12,3.47
020492304,257,2,0.78
020492305,348,6,1.72
020492306,333,11,3.3
020492307,467,10,2.14
020492308,418,29,6.94
020492309,390,7,1.79
020492310,334,1,0.3
020492401,427,8,1.87
020492402,343,37,10.79
020492403,384,7,1.82
020492404,474,36,7.59
020492405,418,24,5.74
020492406,421,6,1.43
020492407,369,14,3.79
020492408,372,18,4.84
020492409,453,11,2.43
020492410,442,24,5.43
020492411,373,14,3.75
020560101,396,46,11.62
020560102,346,44,12.72
020560103,431,94,21.81
020560104,274,49,17.88
020560105,342,42,12.28
020560106,240,32,13.33
020560107,373,46,12.33
020560108,277,46,16.61
020560109,336,45,13.39
020560110,225,24,10.67
020560111,234,42,17.95
020560112,293,48,16.38
020560113,314,34,10.83
020560114,659,160,24.28
020560115,274,46,16.79
020560116,312,51,16.35
020560117,302,53,17.55
020560118,209,31,14.83
020560119,319,48,15.05
020560120,253,34,13.44
020560121,553,111,20.07
020560122,374,56,14.97
020560123,431,75,17.4
020560124,199,31,15.58
020560201,436,15,3.44
020560202,206,9,4.37
020560203,166,7,4.22
020560204,319,18,5.64
020560205,227,12,5.29
020560206,252,3,1.19
020560207,450,25,5.56
020560208,325,17,5.23
020560209,313,10,3.19
020560210,233,14,6.01
020560301,419,40,9.55
020560302,281,12,4.27
020560303,232,12,5.17
020560304,253,10,3.95
020560305,353,10,2.83
020560306,262,20,7.63
020560307,230,5,2.17
020560308,518,90,17.37
020560309,291,53,18.21
020560310,351,46,13.11
020560311,536,49,9.14
020560312,158,27,17.09
020560313,360,57,15.83
020560314,113,16,14.16
020560401,346,41,11.85
020560402,250,4,1.6
020560403,303,19,6.27
020560404,270,7,2.59
020560405,358,13,3.63
020560406,398,9,2.26
020560407,293,15,5.12
020560408,323,9,2.79
020560409,295,3,1.02
020560410,382,8,2.09
020560411,294,12,4.08
020560501,317,12,3.79
